year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause,tons_inedible_parts,tons_not_fit_for_human_consumption
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Date Label Concerns,Date Label Concerns,267.195875,1644067.313,37.64306669,0
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Mistakes & Malfunctions,Cooking Issues,40.86559661,251447.7126,5.757223528,40.86559661
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Mistakes & Malfunctions,Equipment Issues,7.715471578,47473.61695,1.086970415,7.715471578
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Mistakes & Malfunctions,Handling Errors,73.86903967,454519.268,10.4068118,73.86903967
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Other,Other,9.426761218,58003.25316,1.328060177,9.426761218
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Spoiled,Spoiled,318.5736794,1960197.076,44.88127018,318.5736794
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Trimmings & Byproducts,Trimmings & Byproducts,260.2333709,1601226.735,260.2333709,260.2333709
2024,Foodservice,Bars And Taverns,Frozen,Date Label Concerns,Date Label Concerns,0.424565567,1305.066207,0.004731214,0
2024,Foodservice,Bars And Taverns,Frozen,Mistakes & Malfunctions,Cooking Issues,0.070860389,217.8167661,0.000789644,0.070860389
2024,Foodservice,Bars And Taverns,Frozen,Mistakes & Malfunctions,Equipment Issues,0.025152565,77.31611973,0.000280292,0.025152565
2024,Foodservice,Bars And Taverns,Frozen,Mistakes & Malfunctions,Handling Errors,0.658055632,2022.788078,0.007333148,0.658055632
2024,Foodservice,Bars And Taverns,Frozen,Other,Other,0.138714847,426.3936445,0.001545791,0.138714847
2024,Foodservice,Bars And Taverns,Frozen,Spoiled,Spoiled,0.715941894,2200.723858,0.007978213,0.715941894
2024,Foodservice,Bars And Taverns,Frozen,Trimmings & Byproducts,Trimmings & Byproducts,0.17695205,543.9304522,0.17695205,0.17695205
2024,Foodservice,Bars And Taverns,Prepared Foods,Date Label Concerns,Date Label Concerns,0,0,0,0
2024,Foodservice,Bars And Taverns,Prepared Foods,Excess,Catering Overproduction,4061.750497,51206719.14,158.7858119,0
2024,Foodservice,Bars And Taverns,Prepared Foods,Excess,Overproduction,3918.607353,49402105.39,153.189924,0
