year,sector,sub_sector,sub_sector_category,food_type,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_not_fit_for_human_consumption,tons_inedible_parts,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,surplus_upstream_100_year_mtco2e_footprint,surplus_downstream_100_year_mtco2e_footprint,surplus_total_100_year_mtco2e_footprint,surplus_upstream_100_year_mtch4_footprint,surplus_downstream_100_year_mtch4_footprint,surplus_total_100_year_mtch4_footprint,gallons_water_footprint,meals_wasted
2024,Foodservice,Business & Industry,Business & Industry,Frozen,279.1671606,17011.33048,858128.0629,272.4011885,273.3112949,259.6589595,4.408377081,5.855865703,0,0.912012434,0.041930656,43.13912751,0,26.59617054,0,200.8551515,1.768808222,0,1103.601785,124.4240197,1228.025805,14.69762637,6.14921025,20.84683662,94152471.96,455518.8249
2024,Foodservice,Business & Industry,Business & Industry,Prepared Foods,206823.009,0,2317745631,204751.7099,205048.7082,0,8085.321692,1774.300815,0,297.2329553,5.163136173,23339.00084,0,20463.83842,0,152447.7272,8495.980385,0,926104.7623,107781.0658,1033885.828,7983.351451,4923.576514,12906.92796,97807971673,341747847
2024,Foodservice,Business & Industry,Business & Industry,Produce,3842.345149,234137.1492,13906031.67,3749.221014,3761.747356,3692.263148,3444.380316,80.59779355,0,12.55257439,0.577116776,593.7496981,0,366.0590545,0,2764.489976,24.34516895,0,8453.502143,708.7863243,9162.288467,19.387552,31.66854419,51.05609619,172193193.9,6269578.926
2024,Foodservice,Business & Industry,Business & Industry,Ready-To-Drink Beverages,2510.727999,152993.7247,2637098.286,2449.877303,2458.06247,1914.957352,1788.391553,52.66552822,0,8.202308423,0.377109081,387.9776369,0,239.1962933,0,1806.418246,15.90801839,0,12388.30816,1373.311564,13761.61972,66.24900584,67.86841743,134.1174233,67121183.44,4096770.784
2024,Foodservice,Caterers,Caterers,Breads & Bakery,1433.959773,75744.6464,6701384.711,1392.807041,1398.971296,1001.807316,190.7740082,34.9884775,0,6.172549157,0.182480297,293.5059318,0,136.3925633,0,950.6541234,12.07194243,0,2568.117828,982.2271577,3550.344986,7.216845612,50.07839551,57.29524112,27451876.64,2331618.826
2024,Foodservice,Caterers,Caterers,Dairy & Eggs,2142.503539,113171.3567,8574553.442,2081.016546,2090.226663,1946.721566,50.58566822,52.27687574,0,9.222510045,0.272646897,438.5321746,0,203.7864346,0,1420.388397,18.03689327,0,9112.263474,569.5550857,9681.81856,117.8660232,27.71100705,145.5770302,607050585.9,3483711.106
2024,Foodservice,Caterers,Caterers,Dry Goods,4711.383906,248864.7971,17188979.65,4576.173475,4596.426602,2126.153329,588.122053,114.9573042,0,20.28037976,0.599552896,964.3360638,0,448.1281411,0,3123.446432,39.6632851,0,13003.66488,2180.073112,15183.73799,43.14603327,110.4577052,153.6037385,577652211.3,7660711.004
2024,Foodservice,Caterers,Caterers,Fresh Meat & Seafood,3663.763674,193527.3842,31122119.59,3558.618545,3574.3682,2662.676887,1353.798854,89.39547348,0,15.77084783,0.466236708,749.9069297,0,348.4826618,0,2428.918934,30.84378306,0,53484.32345,1697.027471,55181.35092,637.7174746,85.40565503,723.1231296,4268775291,5957280.333
2024,Foodservice,Caterers,Caterers,Frozen,216.4740851,11434.59764,665416.6877,210.2615678,211.1921387,174.8915781,19.55009907,5.281946398,0,0.931823163,0.027547673,44.30837549,0,20.59015595,0,143.5130786,1.822410045,0,853.5758556,89.09911899,942.6749745,11.36781326,4.490917579,15.85873083,72882100.14,351986.8979
2024,Foodservice,Caterers,Caterers,Prepared Foods,346499.5735,0,4407743231,340519.9613,341253.2535,0,13545.69074,5246.320061,0,733.4126412,2.650746169,81660.55755,0,29976.32621,0,221905.39,6975.036838,0,1544160.666,135438.883,1679599.549,13310.08299,6679.671552,19989.75454,1.63322E+11,568755422.5
2024,Foodservice,Caterers,Caterers,Produce,2979.462732,157381.2287,10783128.92,2893.956127,2906.764134,2476.916753,1840.763586,72.69859776,0,12.82524134,0.379155158,609.8427596,0,283.3946717,0,1975.256617,25.082923,0,6539.234018,511.8594887,7051.093507,14.99597994,23.13538102,38.13136097,133292321.9,4844606.89
2024,Foodservice,Caterers,Caterers,Ready-To-Drink Beverages,1946.889259,102838.616,2044880.342,1891.016135,1899.385352,438.3421167,1.869013689,47.50390654,0,8.380478921,0.247753763,398.4934283,0,185.1803805,0,1290.704479,16.39009371,0,9581.936583,983.7124183,10565.649,51.24056172,49.56796423,100.808526,51957561.08,3165642.254
2024,Foodservice,Colleges & Universities,Colleges/Universities,Breads & Bakery,2734.298745,147263.733,12778313.69,2664.658773,2674.35739,2112.109066,594.5185761,59.94135473,0,9.716497559,0.393358846,460.4105173,0,239.8543061,0,1945.1029,18.89769067,0,4906.015575,2007.401953,6913.417528,13.78673384,100.7697148,114.5564487,52411396.39,4457262.317
